 श्रावकभूमिः (श्भ्_स्ह्: ५)	ཉན་ཐོས་ཀྱི་ནི་ས་ཞེས་བྱ་༎
 प्रशान्तं चेतसि वेदितमुत्पद्यते । प्रीतिप्रातिद्वन्द्व्येन तस्मिन् समये रूपकायेन, मनःकायेन वेदित सुखं च प्रश्रब्धिसुखं प्रतिसम्वेदयते ।	དེ་དེའི་ཚེ་ན་གཟུགས་ཀྱི་ལུས་དང་། ཡིད་ཀྱི་ལུས་ཀྱིས་ཚོར་བའི་བདེ་བ་དང་། ཤིན་ཏུ་སྦྱངས་བའི་བདེ་བ་སོ་སོར་མྱོང་བར་བྱེད་པས་ན་། དེའི་ཕྱིར་བདེ་བ་ལུས་ཀྱིས་མྱོང་བ་ཞེས་བྱ་བ་གསུངས་སོ་༎
 तृतीयाच्च ध्यानात् ।	འཕགས་པ་རྣམས་ཀྱིས་གང་དེ་ལ་དྲན་པ་དང་ལྡན་པ་བདེ་བ་ལ་གནས་བ་བཏང་སྙོམས་བའོ་ཞེས་བརྗོད་པ་སྟེ་ཞེས་བྱ་ནི་བསམ་གཏན་གསུམ་པ་མན་ཆད་ལ་ནི་།
 अधस्तद्रूपं सुखं नास्ति नापि निरन्तरा उपेक्षा तृतीया[द्]ध्यानादूर्ध्वं यदप्युपेक्षोपलभ्यते ।	བདེ་བ་དེ་ལྟ་བུ་ཡང་མེད་ལ་རྒྱུན་དུ་བཏང་སྙོམས་ལ་གནས་པ་མེད་དོ་༎ བསམ་གཏན་གསུམ་པའི་གོང་མ་དག་ལ་ནི་བཏང་སྙོམས་ཡོད་ཀྱང་བདེ་བ་དེ་ལྟ་བུ་མེད་དེ་། དེ་ལྟར་འོག་མ་༄༡༧༡ཨ་༌་༎
 न तु सुखं । तत्राधः सुखोपेक्षाभावादूर्ध्वं च सुखाभावात् ।	དག་ལ་བདེ་བ་དང་བཏང་སྙོམས་མེད་པ་དང་། གོང་མ་དག་ལ་བདེ་བ་མེད་པའི་ཕྱིར་འདི་ལྟ་སྟེ་།
 इदं तदायतनं यदुत तृतीयं ध्यानं यत्तदार्या आचक्षते ।	བསམ་གཏན་གསུམ་པ་འདི་ནི་དེ་དག་གི་གནས་ཡིན་པས་ན་།
 यत्प्रतिलम्भविहारिणं पुद्गलमधिकृत्य स्मृतिमां(मान्)	འཕགས་བས་ཀྱང་དེ་ལ་དམིགས་ཏེ་གནས་པའི་གང་ཟག་གང་ཡིན་པ་དེའི་དབང་དུ་མཛད་ནས་།
 सुखविहारी तृतीयं ध्यानमुपसंपद्य विहरतीति आर्याः पुनः वृद्धाश्च वृद्धश्रावकाश्च ।	གང་དེ་དྲན་པ་དང་ལྡན་པ་བདེ་བ་ལ་གནས་པ་བཏང་སྙོམས་པའོ་ཞེས་བརྗོད་དེ་། འཕགས་པ་ཞེས་བྱ་བ་ནི་སངས་རྒྱས་རྒྱས་དང་སངས་རྒྱས་ཀྱི་ཉན་ཐོས་རྣམས་སོ་༎ དགའ་བ་མེད་བ་ཞེས་བྱ་བ་ནི་དེ་ལྟར་བཏང་སྙོམས་ལ་གནས་པ་དེས་དེས་དེའི་ཆེ་དྲན་པ་དང་ཤེས་བཞིན་ཀུན་དུ་བསྟེན་ཅིང་གོམས་པར་བྱས་། ལན་མང་དུ་བྱས་པའི་རྒྱུས་། དགའ་བ་དང་ལྡན་པའི་ཚོར་པས་སེམས་དགའ་བར་བྱེད་པ་དེ་སྤོང་བར་བྱེད་ཅིང་། དགའ་བའི་གཉེན་པོ་དགའ་བ་མེད་པ་ཞི་བ་དང་། རབ་ཏུ་ཞི་བའི་ཚོར་བའི་སེམས་ལས་སྐྱེས་པར་འགྱུར་བས་ན་། དེའི་ཕྱིར་དགའ་བ་མེད་པ་ཞེས་བྱ་གསུངས་སོ་༎ བསམ་གཏན་གསུམ་པ་བསྒྲུབས་ཏེ་གནས་སོ་ཞེས་བྱ་བ་ནི་སྔ་མ་བཞིན་དུ་རིག་པར་བྱའོ་༎ དེ་བདེ་བ་ཡང་སྤངས་ཏེ་། སྔ་ནས་སྡུག་བསྔལ་ཡང་སྦངས་ཤིང་ཡིད་བདེ་བ་དང་། ཡིད་མི་བདེ་བ་ཡང་ནུབ་པས་བདེ་བ་ཡང་མ་ཡིན་། སྡུག་བསྔལ་ཡང་མ་ཡིན་། བཏང་སྙོམས་དང་། དྲན་པ་ཡོངས་སུ་དག་པ་བསམ་གཏན་བཞི་པ་བསྒྲུབས་ཏེ་། གནས་སོ་ཞེས་གསུངས་པ་དེ་ལ་། དེ་བདེ་བ་ཡང་སྤངས་ཏེ་ཞེས་བྱ་བ་ནི་།
 तत्रातुल्यजातीयत्वात् ।	བདེ་བའི་གཉེན་པོ་ནི་རིགས་འདྲ་བའི་ཕྱིར་།
 प्रतिपक्षस्य सुखस्य प्रहाणप्रतिपक्षानाख्यातः (क्षो ऽनाख्यातः) । यदेव तत्प्रतिपक्षकृतं सुखप्रहाणं तदेवाख्यातं ।	སྤོང་བའི་གཉེན་པོ་མ་བསྟན་པར་དེའི་གཉེན་པོས་བྱས་པ་བད་བ་སྤངས་པ་གང་ཡིན་པ་དེ་ཉིད་བརྟེན་ཏེ་། 
 कः पुनरसौ प्रतिपक्षः ।	དེའི་གཉེན་པོ་ཡང་གང་ཞེ་ན་།
 यदुतोपेक्षा स्मृतिसम्प्रजन्यञ्च ।	འདི་ལྟ་སྟེ་། བཏང་སྙོམས་དང་། དྲན་པ་དང་། ཤེས་བཞིན་ཡིན་ནོ་༎
 तस्य च निषेवणाभ्यासात्तृतीयध्यानाच्चलितो यत्र (श्भ्_स्ह् ४५४)	དེ་དག་ལ་བརྟེན་ཅིང་གོམས་པར་བྱས་པས་།
 तृतीयध्यानभूमिसुखं तत्प्रजहाति ।	བསམ་གཏན་གསུམ་པ་ལས་བསྐྱེད་ཅིང་། བསམ་གཏན་གསུམ་པའི་ས་པའི་བདེ་བ་གང་ཡིན་པ་དེ་སྤོང་བར་བྱེད་པས་ན་།
 तेनाह ।	དེའི་ཕྱིར་དེ་བདེ་བ་ཡང་སྤངས་ཏེ་ཞེས་བྱ་བ་གསུངས་སོ་༎
 सुखस्य च प्रहाणात्पूर्वमेव च सौमनस्यदौर्मनस्ययोरस्त(ङ्)गमात् ।	སྔ་ནས་སྡུག་བསྔལ་ཡང་སྤངས་ཤིང་ཡིད་བདེ་བ་དང་། ཡིད་མི་བདེ་བ་ཡང་ནུབ་པས་ཞེས་བྱ་བ་ནི་།
 तत्र चतुर्थध्यानसमापत्तिकाले तस्मिन् समये स ध्यायी सुखदुःखव्यतिक्रममनुप्राप्नोति ।	དེའི་ཚེ་ན་བསམ་གཏན་པ་དེས་བདེ་བ་དང་། སྡུག་བསྔལ་ལས་ཡང་དག་པར་འདས་པའི་རྗེས་སུ་ཐོབ་ཅིང་།
 तेन यश्(च्)च पूर्वप्रहीणं, यश्चै(च्चै) तर्हि प्रहीयते । तस्य संकलनं कुर्वन्नेवमाह ।	དེས་སྔོན་སྤངས་པ་གང་ཡིན་པ་དང་། ད་ལྟར་སྤོང་༄༡༧༡བ་བར་བྱེད་པ་གང་ཡིན་པ་དེ་དག་གཅིག་ཏུ་བསྡུས་པས་ན་།
 सुखस्य च प्रहाणात्(द्) , दुःखस्य च प्रहाणात्, पूर्वमेव च सौमनस्यदौर्मनस्ययोरस्त[ङ्]गमात् ।	དེའི་ཕྱིར་སྔ་ནས་སྡུག་བསྔལ་ཡང་སྤངས་ཤིང་ཡིད་བདེ་བ་དང་། ཡིད་མི་བདེ་བ་ཡང་ནུབ་པས་ཞེས་བྱ་བ་གསུངས་སོ་༎
 तन्न चतुर्थध्यानसमापत्तिकाले सुखस्य च प्रहाणाअद्द्वितीयध्यानसमापत्तिकाले दुःखस्य,	དེ་ལ་བསམ་གཏན་བཞི་པ་ལ་སྙོམས་པར་འཇུག་པའི་ཚེ་ན་ནི་བདེ་བ་སྤངས་སོ་༎ བསམ་གཏན་གཉིས་པ་ལ་སྙོམས་པར་འཇུག་པའི་ཚེ་ན་ནི་སྡུག་བསྔལ་སྤངས་སོ་༎
